                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.2978,                 1.0854,                 1.5971,                 0.8465,                0.66436,                0.74203,                0.45536,                 1.4254,                0.98588,                 1.7465,              0.0011387,              0.0011387,              0.0011387
                     81,                 1.2879,                 1.0782,                 1.5903,                0.85298,                0.66158,                0.74368,                0.45514,                 1.4246,                0.98134,                 1.7453,              0.0010454,              0.0010454,              0.0010454
                     82,                  1.285,                 1.0778,                 1.5868,                0.84857,                0.66464,                0.74357,                0.45582,                 1.4238,                0.97911,                 1.7443,             0.00095595,             0.00095595,             0.00095595
                     83,                 1.2848,                 1.0759,                 1.5839,                0.85315,                0.66295,                0.74312,                0.45721,                 1.4219,                0.97937,                 1.7419,             0.00087058,             0.00087058,             0.00087058
                     84,                 1.2854,                  1.076,                 1.5873,                0.85424,                0.66306,                 0.7434,                0.45812,                 1.4193,                0.97404,                 1.7395,             0.00078933,             0.00078933,             0.00078933
                     85,                   1.27,                 1.0524,                 1.5747,                0.86711,                0.65694,                0.74561,                0.45839,                 1.4219,                0.96952,                 1.7405,             0.00071228,             0.00071228,             0.00071228
                     86,                 1.2722,                 1.0547,                 1.5734,                0.86614,                0.65679,                0.74382,                 0.4576,                  1.419,                  0.968,                 1.7385,             0.00063952,             0.00063952,             0.00063952
                     87,                 1.2723,                  1.063,                  1.577,                0.84766,                0.66647,                0.74363,                0.45732,                 1.4172,                0.96704,                  1.737,             0.00057111,             0.00057111,             0.00057111
                     88,                 1.2678,                 1.0562,                 1.5698,                0.84982,                 0.6627,                0.74455,                0.45972,                  1.419,                  0.968,                 1.7378,             0.00050711,             0.00050711,             0.00050711
                     89,                 1.2746,                 1.0658,                 1.5756,                0.84309,                0.66859,                0.74442,                0.45964,                 1.4196,                0.96547,                 1.7354,             0.00044761,             0.00044761,             0.00044761
                     90,                 1.2735,                 1.0496,                 1.5729,                0.84334,                0.67051,                0.74605,                0.46063,                 1.4195,                0.96613,                 1.7344,             0.00039264,             0.00039264,             0.00039264
                     91,                 1.2428,                0.93748,                 1.6008,                0.84726,                0.67008,                0.74437,                0.45902,                 1.4189,                0.96639,                 1.7364,             0.00034227,             0.00034227,             0.00034227
                     92,                 1.2315,                0.92494,                 1.5912,                0.84945,                0.66905,                0.74362,                 0.4586,                 1.4174,                0.96664,                 1.7366,             0.00029655,             0.00029655,             0.00029655
                     93,                 1.2204,                0.91134,                 1.5876,                0.85042,                0.66911,                0.74345,                0.45897,                 1.4154,                0.96517,                 1.7362,             0.00025551,             0.00025551,             0.00025551
                     94,                 1.2126,                0.90837,                 1.5808,                 0.8518,                0.66896,                0.74444,                0.45981,                 1.4143,                0.96599,                 1.7356,             0.00021921,             0.00021921,             0.00021921
                     95,                 1.2079,                0.90529,                 1.5757,                0.85266,                0.66775,                 0.7443,                0.46088,                 1.4119,                0.96503,                 1.7343,             0.00018768,             0.00018768,             0.00018768
                     96,                  1.207,                0.89643,                 1.5768,                0.85975,                0.66438,                0.74433,                0.46116,                 1.4107,                0.96349,                 1.7334,             0.00016094,             0.00016094,             0.00016094
                     97,                 1.1972,                0.89848,                 1.5673,                0.85848,                0.66617,                 0.7449,                 0.4619,                 1.4095,                 0.9622,                 1.7333,             0.00013903,             0.00013903,             0.00013903
                     98,                  1.194,                0.88576,                  1.569,                0.85805,                0.66811,                0.74504,                 0.4624,                 1.4087,                0.96215,                 1.7328,             0.00012197,             0.00012197,             0.00012197
                     99,                  1.201,                0.89117,                 1.5787,                0.84798,                0.67114,                0.74505,                0.46245,                 1.4074,                0.96129,                 1.7318,             0.00010977,             0.00010977,             0.00010977
                    100,                 1.2042,                0.89699,                 1.5757,                0.84879,                0.67205,                0.74613,                0.46244,                 1.4072,                 0.9614,                 1.7316,             0.00010244,             0.00010244,             0.00010244
